Title_Author,ISBN
"('A Garden in Lucca : Finding Paradise in Tuscany', 'Paul Gervais')",0786884398
"('A Gathering of Hope', 'Helen Hayes')",0802724671
"('A Gathering of Spies', 'John Altman')",0515131105
"('A Gesture Life', 'Chang-Rae Lee')",1573228281
"('A Gift of Love', 'Judith McNaught')",0671536613
"('A Girl Named Disaster', 'Nancy Farmer')",0140386351
"('A Glass of Blessings', 'Barbara Pym')",0060805501
"('A Glory of Unicorns', 'Bruce Coville')",043906628X
"('A God in Ruins', 'Leon Uris')",0061097934
"('A Good House', 'Bonnie Burnard')",0312420323
"('A Good Man in Africa', 'William Boyd')",0380723417
"(""A Good Place to Live: America's Last Migration"", 'Terry Pindell')",0805050248
"('A Good Scent from a Strange Mountain: Stories', 'Robert Olen Butler')",0140176640
"('A Gown of Spanish Lace (Women of the West)', 'Janette Oke')",155661683X
"('A Gracious Plenty', 'Sheri Reynolds')",060960225X
"('A Grand Passion', 'Mary Mackey')",0233978887
"('A Grave Without Flowers', 'Mary McMullen')",038519045X
"('A Graveyard for Lunatics: Another Tale of Two Cities', 'Ray Bradbury')",0380812002
"('A Great Deliverance', 'Elizabeth George')",0553278029
"('A Grief Observed', 'C. S. Lewis')",0553274864
"('A Guide to Biltmore Estate', 'Rachel Carley')",1885378017
"('A Habit of the Blood', 'Lois Battle')",0312905823
"('A Haiku for Hanae', 'James Melville')",044921835X
"('A Handbook for Drowning: Stories', 'David Shields')",0060975318
"('A Heart of Stone', 'Renate Dorrestein')",014200023X
"('A Hidden Place', 'Robert Charles Wilson')",0765302616
"('A History of Reading', 'Alberto Manguel')",0670843024
"('A History of Wales', 'John Davies')",0713990988
"('A History of Warfare', 'John Keegan')",0394588010
"('A History of the Breast', 'Marilyn Yalom')",0345388941
"('A History of the Wife', 'Marilyn Yalom')",0060931566
"('A Hive for the Honeybee', 'Soinbhe Lally')",059051038X
"('A Hole in the Earth', 'Robert Bausch')",0156011840
"('A Hope in the Unseen : An American Odyssey from the Inner City to the Ivy League', 'RON SUSKIND')",0767901266
"('A Hot and Sultry Night for Crime', 'Jeffery Deaver')",0425193691
"('A House by the River', 'Sid Smith')",0330481231
"('A House for Mr. Biswas', 'V. S. Naipaul')",0375707166
"(""A House in Corfu: A Family's Sojourn in Greece"", 'Emma Tennant')",0805072829
"('A House in Sicily', 'Daphne Phelps')",0786706562
"('A House of Secrets: A Novel', 'Patti Davis')",0451403193
"('A Hymn Before Battle', 'John Ringo')",0671318411
"('A Is for AARRGH!', 'William J. Brooke')",0064408892
"('A Journey With Elsa Cloud', 'Leila Hadley')",0140275371
"('A Journey of Faith', 'Elie Wiesel')",1556112165
"(""A Journey of One's Own: Uncommon Advice for the Independent Woman Traveler"", 'Thalia Zepatos')",0933377363
"('A Journey to the Center of the Earth', 'Jules Verne')",0451524500
"('A Kept Woman', 'Louise Bagshawe')",0752843370
"(""A Kind of Grace : The Autobiography of the World's Greatest Female Athlete"", 'Sonja Steptoe')",0446522481
"('A Kingdom of Dreams', 'Judith McNaught')",0671737619
"('A Kiss Before Dying', 'Ira Levin')",0786711647
"('A Kiss from Maddalena', 'Christopher Castellani')",0425196429
"(""A Kitten's Year"", 'Nancy Raines Day')",0064438635
"('A Knight in Shining Armor', 'Jude Deveraux')",0671705091
"('A Knight of the Word (Trolltown)', 'Terry Brooks')",0345432762
"('A Knight to Remember', 'Christina Dodd')",0061084883
"('A Land Remembered', 'Patrick D. Smith')",0910923124
"('A Language Older Than Words', 'Derrick Jensen')",1893956032
"('A Lantern in Her Hand', 'Bess Streeter Aldrich')",0451161688
"('A Life Less Ordinary', 'John Hodge')",0140272151
"('A Life Without Consequences', 'Stephen Elliott')",0967370175
"('A Life of Anne Bronte', 'Edward Chitham')",0631166165
"('A Light in the Attic', 'Shel Silverstein')",0060256737
"('A Little Love', 'C. C. Medina')",0446524484
"('A Little Princess', 'Frances Hodgson Burnett')",0064401871
"('A Little Princess: The Story of Sara Crewe (Puffin Classics)', 'Frances Hodgson Burnett')",0140366881
"('A Little Too Much Is Enough', 'Kathleen Tyau')",0393315592
"('A Long Fatal Love Chase', 'Louisa May Alcott')",0440223016
"('A Long Way from Home', 'Connie Briscoe')",0060172789
"('A Love Divine', 'Alexandra Ripley')",0446604720
"('A Love for All Time', 'Bertrice Small')",0451204743
"('A Love to Cherish', 'Connie Mason')",0505524945
"('A Maggot', 'John Fowles')",0316290491
"('A Magical Christmas', 'Heather Graham')",0451407962
"(""A Maiden's Grave"", 'Jeff Deaver')",0451188489
"('A Man Called Peter: The Story of Peter Marshall', 'Catherine Marshall')",0800793110
"('A Man Cannot Cry', 'Gloria Keverne')",0586063455
"('A Man Named Dave: A Story of Triumph and Forgiveness', 'David J. Pelzer')",0452281903
"('A Man in Full', 'Tom Wolfe')",0553580930
"('A Man on the Moon: The Voyages of the Apollo Astronauts', 'Andrew Chaikin')",0140272011
"('A Man to Call My Own : A Novel', 'Johanna Lindsey')",0743456351
"('A Manhattan Ghost Story', 'T. M. Wright')",0812519507
"('A Map of the World', 'Jane Hamilton')",0385720106
"('A Mathematician Reads the Newspaper', 'John Allen Paulos')",038548254X
"('A Matter of Honor', 'Jeffrey Archer')",0061007137
"('A Matter of Time', 'Beverly Byrne')",0394562879
"('A Medieval Home Companion: Housekeeping in the Fourteenth Century', 'Tania Bayard')",006092182X
"('A Meeting by the River', 'Christopher Isherwood')",0374520763
"('A Member of the Family', 'Nick Vasile')",0812520467
"('A Member of the Family: Gay Men Write About Their Families', 'John Preston')",0525935495
"('A Memory of Love', 'Bertrice Small')",0345435184
"('A Midnight Clear: Stories for the Christmas Season', 'Katherine Paterson')",0451197372
"(""A Midsummer Night's Dream"", 'William Shakespeare')",0451518519
"(""A Midsummer Night's Dream (Signet Classic)"", 'William Shakespeare')",0451526961
"(""A Midwife's Story"", 'Penny Armstrong')",0804101787
"('A Million Little Pieces', 'JAMES FREY')",0385507755
"('A Million Open Doors', 'John Barnes')",0812516338
"('A Mind at a Time', 'Mel Levine')",0743202236
"('A Mind of Its Own: A Cultural History of the Penis', 'David M. Friedman')",0684853205
"('A Mind to Murder', 'P. D. James')",0446314803
"('A Mind to Murder', 'P.D. James')",0743219589
"('A Modern Mephistopheles', 'Louisa May Alcott')",0553212664
"('A Moment in Time', 'Judith Gould')",0451206533
"('A Monk Swimming', 'Malachy McCourt')",0786863986
"('A Month of Sundays', 'John Updike')",0449912205
"('A Mortal Bane', 'Roberta Gellis')",081257236X
"('A Mouse Called Wolf', 'Dick King-Smith')",0375800662
"('A Moveable Feast', 'Ernest Hemingway')",068482499X
"('A Much Younger Man', 'Dianne Highbridge')",1569471142
"('A Murder Is Announced (Miss Marple Mysteries (Paperback))', 'Agatha Christie')",0451201191
"('A Murder of Promise', 'Robert Andrews')",0425189422
"('A Mystery of Errors', 'Simon Hawke')",0812564545
"('A Natural History of Love', 'Diane Ackerman')",0679761837
"('A Natural History of the Senses', 'Diane Ackerman')",0679735666
"('A Necessary End', 'Peter Robinson')",0380719460
"('A New Leash on Death', 'Susan Conant')",0425146227
"('A Night Without Armor : Poems', 'Jewel')",0060191988
"('A Painted House', 'JOHN GRISHAM')",038550120X
"('A Painted House', 'John Grisham')",044023722X
"('A Parting Gift', 'Ben Erickson')",0446677221
"('A Passage to India', 'E.M. Forster')",0156711427
"('A Passion for Friends: Toward a Philosophy of Female Affection', 'Janice G. Raymond')",0807067245
"('A Passion for Glory', 'Theresa Conway')",0515095575
"('A Passion to Win', 'Sumner Redstone')",0743518217
"('A Pedigree to Die for', 'Laurien Berenson')",1575663740
"('A Perfect Crime', 'Peter Abrahams')",0345426800
"('A Perfect Execution', 'Tim Binding')",0385484127
"('A Perfect Peace', 'Amos Oz')",0156716836
"('A Perfect Spy', 'John le Carre')",0671042750
"('A Perfect Wife and Mother', 'Alexandra Frye')",0440217369
"('A Perfect World', 'Dewey Gram')",0451181808
"('A Picture of Guilt', 'Libby Fischer Hellmann')",1590580737
"('A Piece of Heaven', 'BARBARA SAMUEL')",0345445686
"('A Place Called Freedom', 'Ken Follett')",0449225151
"('A Place Called Rainwater', 'Dorothy Garlock')",0446611468
"('A Place Called Wiregrass', 'Michael Morris')",1589199669
"('A Place at the Table', 'Edith Konecky')",0394575229
"('A Place in the Country', 'Laura Shaine Cunningham')",1573221570
"('A Place of Execution', 'Val McDermid')",0312979533
"('A Place of Hiding', 'ELIZABETH GEORGE')",0553801309
"('A Pocket Full of Rye (Miss Marple Mysteries (Paperback))', 'Agatha Christie')",0451199863
"('A Portrait of the Artist As a Young Man', 'James Joyce')",0140042210
"('A Prayer for Owen Meany', 'John Irving')",0345361792
"('A Prayer for the Dying', ""Stewart O'Nan"")",0312255012
"('A Princess of Mars (Mars (del Rey Books Numbered))', 'Edgar Rice Burroughs')",0345278348
"(""A Pussycat's Christmas"", 'Margaret Wise Brown')",0060235322
"('A Quaker Book of Wisdom: Life Lessons in Simplicity, Service, and Common Sense (Living Planet Book)', 'Robert Lawrence Smith')",0688172334
"('A Queer Geography: Journeys Toward a Sexual Self', 'Frank Browning')",0374525420
"('A Queer Reader', 'Patrick Higgins')",1565842103
"('A Question of Blood', 'Ian Rankin')",075285111X
"('A Question of Choice', 'Sarah Weddington')",0140177981
"('A Question of Guilt', 'Frances Fyfield')",0671676652
"('A Quiet Life', 'Kenzaburo Oe')",0802135463
"('A Rage Against Heaven', 'Fred Mustard Stewart')",0670589101
"('A Raisin in the Sun: The Unfilmed Original Screenplay', 'Lorraine Hansberry')",0451183886
"('A Really Cute Corpse (A Claire Malloy Mystery)', 'Joan Hess')",0312982917
"('A Really Popular Girl', 'Kathryn Ewing')",0590432028
"('A Recipe for Bees', 'Gail Anderson-Dargatz')",0385720483
"('A Red Heart of Memories', 'Nina Kiriki Hoffman')",0441007686
"(""A Reporter's Life"", 'Walter Cronkite')",034541103X
"('A Ride in the Neon Sun', 'Josie Dew')",0751517550
"('A Ring of Endless Light', ""Madeleine L'Engle"")",0440910811
"('A Room for the Dead', 'Noel Hynd')",0786000899
"(""A Room of One's Own"", 'Virginia Woolf')",0156787334
"('A Rose in Winter', 'Kathleen E. Woodiwiss')",0380844001
"('A Round-Heeled Woman : My Late-Life Adventures in Sex and Romance', 'JANE JUSKA')",1400060117
"('A Royal Duty', 'Paul Burrell')",0399151729
"('A Royal Pain', 'Ellen Conford')",0590405489
"('A Ruling Passion', 'Judith Michael')",0671648918
"('A Rumor of War', 'Philip Caputo')",080504695X
"('A Samba for Sherlock', 'Jo Soares')",0375700668
"('A Sangre Fria', 'Truman Capote')",8481302139
"('A Scandalous Marriage', 'Cathy Maxwell')",0380808323
"(""A Sea of Words: A Lexicon and Companion for Patrick O'Brian's Seafaring Tales"", 'Dean King')",0805038167
"('A Season Beyond a Kiss', 'Kathleen E. Woodiwiss')",0380807939
"('A Season in Purgatory', 'Dominick Dunne')",0553290762
"('A Season of Mists', 'Sarah Woodhouse')",0006170552
"(""A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series)"", 'Jack Canfield')",1558746226
"('A Secret Affair', 'Barbara Taylor Bradford')",006018650X
"('A Secret Friend', 'Marilyn Sachs')",0385135696
"('A Semester in the Life of a Garbage Bag', 'Gordon Korman')",0590406957
"('A Sensible Life', 'Mary Wesley')",0140134360
"('A Separate Peace', 'John Knowles')",0553280414
"('A Share in Death', 'Deborah Crombie')",0425141977
"('A Share of Freedom', 'June Rae Wood')",0786810858
"('A Ship Made of Paper : A Novel', 'Scott Spencer')",0060933429
"('A Short Course in Photography: An Introduction to Black-And-White Photographic Technique', 'Barbara London')",0673521214
"('A Short History of Canada', 'Desmond Morton')",0888302525
"('A Short History of Nearly Everything', 'BILL BRYSON')",076790818X
"('A Short History of Nearly Everything', 'Bill Bryson')",0767908171
"('A Short History of Rudeness: Manners, Morals, and Misbehavior in Modern America', 'Mark Caldwell')",0312263899
"('A Short History of a Small Place', 'T.R. Pearson')",0345332636
"('A Short History of a Small Place: A Novel', 'T. R. Pearson')",0805033203
"('A Short Walk in the Hindu Kush', 'Eric Newby')",0864426046
"('A Shortcut in Time', 'Charles Dickinson')",0765306395
"('A Silver Mirror', 'Roberta Gellis')",0515101354
"('A Simple Habana Melody : (from when the world was good)', 'Oscar Hijuelos')",0060175699
"('A Simple Path', 'Mother Teresa')",0345397452
"('A Simple Plan', 'Scott Smith')",0312952716
"('A Single Pebble', 'John Hersey')",0394756975
"('A Single Stone', 'Marilyn Wallace')",055329833X
"('A Sky So Close', 'Betool Khedairi')",0375420967
"('A Slipping-Down Life', 'ANNE TYLER')",0804108862
"('A Slow Burning', 'Stanley Pottinger')",0525945415
"('A Small Death in Lisbon', 'Robert Wilson')",0425184234
"('A Small Place', 'Jamaica Kincaid')",0374527075
"('A Small Town in Germany', 'John le Carre')",0330023063
"('A Sniper in the Tower: The Charles Whitman Murders', 'Gary M. Lavergne')",0553579592
"('A Soft Place to Fall', 'Barbara Bretton')",0425182169
"('A Soldier of the Great War', 'Mark Helprin')",0380715899
"(""A Soldier's Daughter Never Cries"", 'Kaylie Jones')",0060977558
"('A Son of the Circus', 'John Irving')",0345389964
"('A Song for Arbonne', 'Guy Gavriel Kay')",0451453328
"('A Song for Jeffrey (Ag Fiction (American Girl))', 'Constance M. Foland')",1562477544
"('A Song for the Asking', 'Steve Gannon')",0553574701
"('A Sorrow in Our Heart: The Life of Tecumseh', 'Allan W. Eckert')",055356174X
"('A Southern Exposure', 'Alice Adams')",0449911136
"('A Southern Family', 'Gail Godwin')",0380703130
"('A Spanish Lover', 'Joanna Trollope')",0425162346
"('A Splash of Red', 'Antonia Fraser')",0553280716
"('A Sport of Nature', 'Nadine Gordimer')",0140084703
"('A Spy at Twilight', 'Bryan Forbes')",0394577671
"('A Stained White Radiance', 'James Lee Burke')",0380720477
"('A Stir of Echoes', 'Richard Matheson')",0812572122
"('A Stolen Past', 'John Knowles')",0030622093
"('A Stolen Tongue', 'Sheri Holman')",0385491247
"('A Stranger for Christmas', 'Carol Lynn Pearson')",0312964544
"('A Stranger in the Mirror', 'Sidney Sheldon')",0446356573
"('A Streetcar Named Desire', 'Tennessee Williams')",0451167783
"('A Student of Weather', 'Elizabeth Hay')",1582431817
"('A Sudden Change of Heart', 'Barbara Taylor Bradford')",0440235146
"('A Summer in the Country', 'Marcia Willett')",0312997159
"('A Summer to Die', 'Lois Lowry')",0440219175
"('A Summons to Memphis', 'Peter Hillsman Taylor')",0345346602
"(""A Supposedly Fun Thing I'll Never Do Again : Essays and Arguments Tag: Author of Infinite Jest"", 'David Foster Wallace')",0316925284
"('A Swiftly Tilting Planet', ""Madeleine L'Engle"")",0440901588
"('A Tad Overweight, but Violet Eyes to Die for (A Doonesbury book)', 'G.B. Trudeau')",003049186x
"('A Tale of Time City', 'Diana Wynne Jones')",0394820304
"('A Tale of Two Cities', 'Charles Dickens')",0451526562
"('A Tale of Two Cities (Penguin Classics)', 'Charles Dickens')",0141439602
"('A Taste for Death', 'P. D. James')",0446323527
"('A Taste of Blackberries', 'Doris Buchanan Smith')",059033784X
"('A Taste of Smoke', 'Marion Dane Bauer')",0440910455
"('A Theory of Relativity', 'Jacquelyn Mitchard')",0061031992
"('A Third Testament', 'Malcolm Muggeridge')",0874869218
"('A Thousand Acres', 'Jane Smiley')",0394577736
"(""A Thousand Pieces of Gold : Growing Up Through China's Proverbs"", 'Adeline Yen Mah')",0060006390
"('A Tidewater Morning: Three Tales from Youth', 'William Styron')",0679427422
